entity,id,entity_name
/m/06rqw,0,Ska
/m/04nc_7,1,Season of Mist
/m/0z9c,2,A cappella
/m/080knyg,3,Amber Riley
/m/05k17c,4,Dean-GB
/m/01nn6c,5,Nick Mason
/m/0694j,6,Québec
/m/035p3,7,Golden Gate Bridge
/m/06439y,8,2005 NBA draft
/m/0bhsnb,9,Sri Lankan Tamils
/m/023wyl,10,Cornerback
/m/04dbw3,11,Cuban American
/m/0wh3,12,Ann Arbor
/m/018l5l,13,Mezzo-soprano
/m/05pcjw,14,Private university
/m/06jtx,15,House of Romanov
/m/03w4sh,16,Neal McDonough
/m/01y9qr,17,University of Guelph
/m/06wbm8q,18,Rise of the Guardians
/m/09th87,19,2006 NBA draft
/m/09cvbq,20,FC Augsburg
/m/01gkcc,21,Pharyngitis
/m/03v36,22,Iain Banks
/m/019lty,23,Clube de Regatas do Flamengo
/m/0ckf6,24,West Ham United F.C.
/m/012qdp,25,Army officer-GB
/m/0kj34,26,Yusuf Islam
/m/05qb8vx,27,82nd Academy Awards
/m/0h1q6,28,Claude Rains
/m/05f0r8,29,Gordon Douglas
/m/0fqz6,30,Cajun
/m/024hbv,31,Homicide: Life on the Street
/m/01sh2,32,Carbohydrate
/m/0kryqm,33,Stephen Moyer
/m/0cfhfz,34,Nine Lives
/m/0196pc,35,Cartoonist
/m/031zkw,36,Lou Diamond Phillips
/m/02fzs,37,Disneyland
/m/0196kn,38,Pulitzer Prize for General Non-Fiction
/m/04gtq43,39,Wilma Galvante
/m/04gknr,40,Rules of Engagement
/m/04lgq,41,Lacrosse
/m/026g801,42,Donald Sumpter
/m/0s9b_,43,Joliet
/m/01vv6_6,44,Slash
/m/031c3v,45,John Broome
/m/0517bc,46,Emma Roberts
/m/01wsl7c,47,KT Tunstall
/m/04165w,48,Finding Neverland
/m/0dbxy,49,Cherokee
/m/06b_0,50,Roman Polanski
/m/04jspq,51,John Lasseter
/m/040t74,52,Janel Moloney
/m/0xwj,53,Atari
/m/01rr9f,54,Courteney Cox
/m/0237jb,55,Brian Helgeland
/m/01tt27,56,Irem
/m/073hmq,57,60th Academy Awards
/m/02s5v5,58,Sarah Polley
/m/01l1hr,59,Gina Gershon
/m/0187nd,60,University of Missouri–Columbia
/m/064r97z,61,Grey Gardens
/m/03ch14,62,Television special
/m/0cv5l,63,Gloucestershire
/m/01z88t,64,Yemen-US
/m/04pqqb,65,Arnon Milchan
/m/014nzp,66,Nottingham Forest F.C.
/m/0k_mt,67,Rainer Werner Fassbinder
/m/01bj6y,68,Joanne Woodward
/m/0g2mbn,69,Aasif Mandvi
/m/018jkl,70,Miyagi Prefecture
/m/015hr,71,Berlin International Film Festival
/m/0cv13,72,Allegany County
/m/01730d,73,Chicago blues
/m/0ygbf,74,Winston-Salem
/m/048j4l,75,Fender Precision Bass
/m/063hp4,76,Singin' in the Rain
/m/011yxy,77,Cries and Whispers
/m/01pm0_,78,Adam West
/m/01gvr1,79,Cicely Tyson
/m/02mgp,80,Ecology
/m/073hkx,81,PFC Lokomotiv Sofia
/m/03gkb0,82,Socialite-GB
/m/0317zz,83,Mindscape Group
/m/01p_ly,84,Cebu
/m/0568qz,85,Bradford Park Avenue A.F.C.
/m/025t7ly,86,Religious Society of Friends
/m/014bpd,87,Heavy Metal
/m/0nv2x,88,Peoria County
/m/0p54z,89,County Limerick
/m/05_z42,90,The Colbert Report
/m/0c00zd0,91,Larry Crowne
/m/0dp90,92,Canberra
/m/01ynvx,93,Revelation Records
/m/0mnrb,94,Henrico County
/m/01pfr3,95,Garbage
/m/01z6gc,96,Penzance
/m/0kr7k,97,Shigeru Miyamoto
/m/03shp,98,Iran
/m/0q9vf,99,Michael Richards
/m/02kc008,100,Glycine
/m/0cqh6z,101,Screen Actors Guild Award for Outstanding Performance by a Female Actor in a Drama Series
/m/01zq91,102,Finance minister
/m/05_wyz,103,General counsel
/m/054krc,104,Golden Globe Award for Best Original Score
/m/0qr4n,105,Prescott
/m/026670,106,Paul Thomas Anderson
/m/0d234,107,Corvallis
/m/03hr1p,108,Road cycling
/m/01v3s2_,109,Fred Armisen
/m/025t9b,110,Jason Isaacs
/m/0fht9f,111,LSU Tigers football
/m/07t21,112,Ukraine
/m/0163kf,113,Gladys Knight
/m/0gl3hr,114,Guys and Dolls
/m/02bkg,115,Diving
/m/01vvyfh,116,George Michael
/m/05s34b,117,Cumulus Media Networks
/m/0c9l1,118,Korn
/m/014b4h,119,Brunel University
/m/0d739,120,Amherst
/m/031rp3,121,Morgan Creek Productions
/m/07t90,122,University of Washington
/m/0sqgt,123,Evansville
/m/025jfl,124,Fox Searchlight Pictures
/m/01p47r,125,Scott Baio-GB
/m/027xq5,126,Glasgow School of Art
/m/037mp6,127,Turkey national football team
/m/01sjz_,128,"St Catharine's College, Cambridge"
/m/0178g,129,Boeing
/m/03b1l8,130,The Fabulous Baker Boys
/m/0k611,131,Academy Award for Best Film Editing
/m/01lqnff,132,Vinnie Jones
/m/02qwg,133,Eric Clapton
